Date,Open,High,Low,Close,Volume
2000-11-15,270.0,270.0,260.0,260.0,318750
2000-11-16,270.0,270.0,270.0,270.0,117500
2000-11-17,270.0,270.0,270.0,270.0,743750
2000-11-20,270.0,280.0,270.0,270.0,2716750
2000-11-21,270.0,280.0,270.0,270.0,1127250
2000-11-22,270.0,280.0,270.0,270.0,870500
2000-11-23,280.0,280.0,270.0,270.0,3300250
2000-11-24,280.0,280.0,270.0,280.0,5003250
2000-11-27,270.0,270.0,260.0,270.0,473250
2000-11-28,270.0,270.0,260.0,260.0,1902000
2000-11-29,260.0,270.0,260.0,270.0,414000
2000-11-30,260.0,270.0,260.0,270.0,1774500
2000-12-01,260.0,260.0,260.0,260.0,797250
2000-12-04,260.0,270.0,260.0,260.0,968250
2000-12-05,260.0,260.0,250.0,260.0,1252750
2000-12-06,260.0,260.0,250.0,250.0,1153000
2000-12-07,260.0,260.0,250.0,250.0,1753750
2000-12-08,250.0,250.0,250.0,250.0,3390250
2000-12-11,240.0,250.0,240.0,240.0,2315500
2000-12-12,240.0,240.0,230.0,240.0,741750
2000-12-13,230.0,240.0,230.0,240.0,1275750
2000-12-14,240.0,240.0,230.0,230.0,1076250
2000-12-15,230.0,240.0,230.0,240.0,1500
2000-12-18,230.0,230.0,230.0,230.0,188750
2000-12-19,230.0,240.0,220.0,230.0,1023000
2000-12-20,230.0,230.0,220.0,230.0,514000
2000-12-21,220.0,230.0,220.0,230.0,187750
2000-12-22,170.0,240.0,170.0,230.0,2395500
2000-12-25,230.0,230.0,230.0,230.0,0
2000-12-26,230.0,230.0,230.0,230.0,0
2000-12-27,230.0,230.0,230.0,230.0,0
2000-12-28,230.0,230.0,230.0,230.0,0
2000-12-29,230.0,230.0,230.0,230.0,0
2001-01-01,230.0,230.0,230.0,230.0,0
2001-01-02,220.0,220.0,200.0,200.0,663750
2001-01-03,200.0,200.0,190.0,200.0,651000
2001-01-04,200.0,200.0,180.0,180.0,2709000
2001-01-05,190.0,220.0,190.0,200.0,8776250
2001-01-08,200.0,200.0,180.0,180.0,1431250
2001-01-09,180.0,190.0,180.0,180.0,525500
2001-01-10,190.0,190.0,180.0,180.0,869250
2001-01-11,180.0,180.0,170.0,170.0,1658750
2001-01-12,180.0,180.0,170.0,180.0,1655250
2001-01-15,180.0,190.0,180.0,180.0,369000
2001-01-16,180.0,180.0,180.0,180.0,834750
2001-01-17,190.0,190.0,180.0,180.0,2028750
2001-01-18,180.0,180.0,170.0,170.0,911750
2001-01-19,180.0,180.0,180.0,180.0,936250
2001-01-22,180.0,180.0,180.0,180.0,203500
2001-01-23,180.0,180.0,180.0,180.0,1275000
2001-01-24,190.0,190.0,180.0,180.0,276250
2001-01-25,180.0,190.0,180.0,190.0,1099000
2001-01-26,180.0,200.0,180.0,180.0,4576250
2001-01-29,180.0,180.0,180.0,180.0,3584750
2001-01-30,180.0,190.0,180.0,190.0,189250
2001-01-31,180.0,190.0,180.0,190.0,4304250
2001-02-01,180.0,190.0,180.0,180.0,432750
2001-02-02,190.0,210.0,190.0,200.0,10625750
2001-02-05,200.0,210.0,190.0,190.0,6199500
2001-02-06,200.0,200.0,180.0,180.0,599250
2001-02-07,180.0,180.0,170.0,180.0,3188500
2001-02-08,180.0,180.0,170.0,170.0,2534250
2001-02-09,170.0,170.0,170.0,170.0,1451000
2001-02-12,170.0,170.0,170.0,170.0,2396000
2001-02-13,170.0,170.0,170.0,170.0,513750
2001-02-14,170.0,170.0,160.0,170.0,45000
2001-02-15,170.0,170.0,160.0,170.0,2915750
2001-02-16,170.0,170.0,160.0,170.0,768750
